2025-07-11 14:21:30.494 | WARNING  | core.routing:verify_active_session:53 - verify_active_session: 用户 'zhouxiang'在SessionStateManager中未找到。可能是会话已过期被清理。
2025-07-11 14:21:30.518 | DEBUG    | core.routing:verify_active_session:46 - verify_active_session: HTTP session中缺少用户名或session_id。
2025-07-11 14:21:37.531 | WARNING  | core.routing:login:98 - 登录尝试失败: 用户名或密码错误 for 'zhouxiang,Zhangying139 user_db_entry:{'password': '123456'}' (来自 IP: 240e:479:668:3c1c:2981:28e:d181:4a3f)
2025-07-11 14:21:41.606 | INFO     | core.session:attempt_login:141 - 用户 'zhouxiang' (会话: 876e737d-1f17-4df2-8ad0-e30f267570bc, IP: 240e:479:668:3c1c:2981:28e:d181:4a3f) 登录/状态更新成功。
2025-07-11 14:21:41.606 | INFO     | core.routing:login:109 - 用户 'zhouxiang' (IP: 240e:479:668:3c1c:2981:28e:d181:4a3f, Session: 876e737d-1f17-4df2-8ad0-e30f267570bc) 登录成功。
2025-07-11 14:21:41.665 | INFO     | core.session:connect_websocket:92 - 用户 'zhouxiang' (会话: 876e737d-1f17-4df2-8ad0-e30f267570bc) 的 WebSocket 已连接并关联。
2025-07-11 14:22:30.779 | ERROR    | core.routing:get_upload_form:298 - 解析通用上传字段时出错: 400: 无效的文件上传数据。
2025-07-11 14:28:03.670 | INFO     | __main__:<module>:36 - Loguru 日志系统已初始化。
2025-07-11 14:28:03.671 | INFO     | __main__:<module>:37 - 项目根目录配置为: /media/zhouxiang/FC7C74827C743A0A/Projects1
2025-07-11 14:28:03.671 | INFO     | __main__:<module>:38 - 数据库路径配置为: /home/zhouxiang/mcp_file_server/data/project_files.db
2025-07-11 14:28:03.671 | INFO     | __main__:<module>:39 - 表格列读取配置已加载: {'变电站安装工程概算表': (2, 6), '变电站建筑工程概算表': (2, 6), '电缆输电线路安装工程概算表': (2, 6), '电缆输电线路建筑工程概算表': (2, 6)}
2025-07-11 14:28:03.671 | INFO     | __main__:<module>:40 - kkFileView 服务地址配置为: http://127.0.0.1:8012/kkfileview
2025-07-11 14:28:03.671 | INFO     | __main__:<module>:43 - Dify Agent API Key: ********kGHe
2025-07-11 14:28:03.671 | INFO     | __main__:<module>:44 - Session Secret Key: ********d6f0
2025-07-11 14:28:03.671 | INFO     | __main__:<module>:45 - 服务器ipv6地址为: http://[240e:479:668:3c1c:54c9:fc2b:a289:87d0]:8888
2025-07-11 14:28:03.672 | INFO     | __main__:<module>:165 - FastAPI 应用已实例化并注册到 app_state。
2025-07-11 14:28:03.672 | INFO     | __main__:<module>:168 - CORS中间件已添加，允许所有来源。
2025-07-11 14:28:03.675 | INFO     | __main__:<module>:184 - MCP 服务器 '项目文件检索服务器' 已挂载到 FastAPI 应用的 '/mcp/' 路径。
2025-07-11 14:28:03.691 | INFO     | __main__:combined_lifespan:65 - COMBINED LIFESPAN START - PID: 1157861 - 服务器启动中...
2025-07-11 14:28:03.727 | INFO     | __main__:combined_lifespan:70 - HTTPX 客户端已创建并注册到 app_state。
2025-07-11 14:28:03.728 | INFO     | utils.utils:check_embedding_service_health:23 - 正在检查嵌入模型服务，目标URL: http://127.0.0.1:8001/v1/models
2025-07-11 14:28:03.736 | INFO     | utils.utils:check_embedding_service_health:32 - 嵌入模型服务可用，模型列表: ['/home/zhouxiang/models/BAAI_bge-m3']
2025-07-11 14:28:03.736 | INFO     | core.session:__init__:78 - SessionStateManager已初始化。整体HTTP不活动超时: 3600秒
2025-07-11 14:28:03.736 | INFO     | __main__:combined_lifespan:78 - SessionStateManager 已实例化并注册到 app_state。
2025-07-11 14:28:03.736 | INFO     | database.filebase:_init_db:71 - 正在初始化数据库: /home/zhouxiang/mcp_file_server/data/project_files.db
2025-07-11 14:28:03.737 | INFO     | database.filebase:_init_db:87 - 数据库 /home/zhouxiang/mcp_file_server/data/project_files.db 初始化完成，已确保 indexed_files 表存在。
2025-07-11 14:28:03.737 | INFO     | database.filebase:scan_existing:312 - 开始执行初始全量扫描... (开始时间: 2025-07-11 14:28:03)
2025-07-11 14:28:03.742 | INFO     | database.filebase:scan_existing:317 - 处理 772 个文件...
2025-07-11 14:28:07.039 | INFO     | database.filebase:scan_existing:343 - 初始全量扫描完成。 (结束时间: 2025-07-11 14:28:07, 总耗时: 3.30 秒)
2025-07-11 14:28:07.049 | INFO     | database.filebase:start_watchdog:303 - 文件系统监视器已启动，正在监视: /media/zhouxiang/FC7C74827C743A0A/Projects1
2025-07-11 14:28:07.050 | INFO     | database.specbase:_init_db:104 - 正在初始化规程规范数据库: /home/zhouxiang/mcp_file_server/data/spec_files.db
2025-07-11 14:28:07.050 | INFO     | database.specbase:_init_db:119 - 数据库 /home/zhouxiang/mcp_file_server/data/spec_files.db 初始化完成，已确保 spec_files 表存在。
2025-07-11 14:28:07.050 | INFO     | database.specbase:scan_specs:188 - 开始执行规程规范全量扫描...
2025-07-11 14:28:07.052 | WARNING  | database.specbase:scan_specs:194 - 专业目录不存在，跳过: /media/zhouxiang/FC7C74827C743A0A/规程规范/线路
2025-07-11 14:28:07.052 | WARNING  | database.specbase:scan_specs:194 - 专业目录不存在，跳过: /media/zhouxiang/FC7C74827C743A0A/规程规范/土建
2025-07-11 14:28:07.052 | WARNING  | database.specbase:scan_specs:194 - 专业目录不存在，跳过: /media/zhouxiang/FC7C74827C743A0A/规程规范/技经
2025-07-11 14:28:07.052 | WARNING  | database.specbase:scan_specs:194 - 专业目录不存在，跳过: /media/zhouxiang/FC7C74827C743A0A/规程规范/公用
2025-07-11 14:28:07.052 | INFO     | database.specbase:scan_specs:206 - 在 7 个专业目录中找到 5 个符合条件的文件需要处理。
2025-07-11 14:28:07.066 | INFO     | database.specbase:scan_specs:215 - 规程规范全量扫描完成，总耗时: 0.02 秒。
2025-07-11 14:28:07.067 | INFO     | __main__:combined_lifespan:101 - AsyncIOScheduler 已实例化并注册到 app_state。
2025-07-11 14:28:07.067 | INFO     | __main__:combined_lifespan:105 - FastMCP lifespan context entered.
2025-07-11 14:28:07.069 | INFO     | __main__:combined_lifespan:123 - 规程规范定时扫描任务已添加到APScheduler (每天 2:30)。
2025-07-11 14:28:07.070 | INFO     | __main__:combined_lifespan:126 - 处理不活动用户会话任务已添加到APScheduler (每 60s)。
2025-07-11 14:28:07.070 | INFO     | __main__:combined_lifespan:129 - 清理用户会话中已打开文件token任务已添加到APScheduler (每 120s)。
2025-07-11 14:28:07.070 | INFO     | __main__:combined_lifespan:132 - APScheduler 调度器已启动。
2025-07-11 14:28:07.071 | INFO     | __main__:combined_lifespan:133 - 所有初始化完成... yield
2025-07-11 14:28:12.169 | INFO     | core.session:attempt_login:141 - 用户 'admin' (会话: c0b6b4f0-fcdd-4f24-977a-152877cd5626, IP: 240e:479:668:3c1c:2981:28e:d181:4a3f) 登录/状态更新成功。
2025-07-11 14:28:12.170 | INFO     | core.routing:login:109 - 用户 'admin' (IP: 240e:479:668:3c1c:2981:28e:d181:4a3f, Session: c0b6b4f0-fcdd-4f24-977a-152877cd5626) 登录成功。
2025-07-11 14:28:12.311 | INFO     | core.session:connect_websocket:92 - 用户 'admin' (会话: c0b6b4f0-fcdd-4f24-977a-152877cd5626) 的 WebSocket 已连接并关联。
2025-07-11 14:28:38.037 | ERROR    | core.routing:get_upload_form:285 - 解析通用上传字段时出错: 400: 无效的文件上传数据。
2025-07-11 14:32:00.514 | ERROR    | core.routing:get_upload_form:285 - 解析通用上传字段时出错: 400: 无效的文件上传数据。
2025-07-11 15:01:59.555 | INFO     | sse_proxy.sse2websocket:run:228 - WebSocket 会话 c0b6b4f0-fcdd-4f24-977a-152877cd5626 用户 admin 断开连接
2025-07-11 15:01:59.556 | DEBUG    | sse_proxy.sse2websocket:_stop:68 - SSEWebSocketProxy._stop stop_event.set()
2025-07-11 15:01:59.556 | INFO     | core.session:disconnect_websocket:107 - 用户 'admin' 的 WebSocket 已断开。
2025-07-11 15:01:59.656 | INFO     | __main__:combined_lifespan:139 - COMBINED LIFESPAN END - PID: 1157861 - 服务器关闭中...
2025-07-11 15:01:59.657 | INFO     | __main__:combined_lifespan:153 - APScheduler 调度器已关闭。
2025-07-11 15:01:59.657 | INFO     | __main__:combined_lifespan:154 - Custom application resources cleaned up.
2025-07-11 15:02:04.226 | INFO     | __main__:<module>:36 - Loguru 日志系统已初始化。
2025-07-11 15:02:04.226 | INFO     | __main__:<module>:37 - 项目根目录配置为: /media/zhouxiang/FC7C74827C743A0A/Projects1
2025-07-11 15:02:04.226 | INFO     | __main__:<module>:38 - 数据库路径配置为: /home/zhouxiang/mcp_file_server/data/project_files.db
2025-07-11 15:02:04.226 | INFO     | __main__:<module>:39 - 表格列读取配置已加载: {'变电站安装工程概算表': (2, 6), '变电站建筑工程概算表': (2, 6), '电缆输电线路安装工程概算表': (2, 6), '电缆输电线路建筑工程概算表': (2, 6)}
2025-07-11 15:02:04.227 | INFO     | __main__:<module>:40 - kkFileView 服务地址配置为: http://127.0.0.1:8012/kkfileview
2025-07-11 15:02:04.227 | INFO     | __main__:<module>:43 - Dify Agent API Key: ********kGHe
2025-07-11 15:02:04.227 | INFO     | __main__:<module>:44 - Session Secret Key: ********5502
2025-07-11 15:02:04.227 | INFO     | __main__:<module>:45 - 服务器ipv6地址为: http://[240e:479:668:3c1c:54c9:fc2b:a289:87d0]:8888
2025-07-11 15:02:04.227 | INFO     | __main__:<module>:165 - FastAPI 应用已实例化并注册到 app_state。
2025-07-11 15:02:04.227 | INFO     | __main__:<module>:168 - CORS中间件已添加，允许所有来源。
2025-07-11 15:02:04.230 | INFO     | __main__:<module>:184 - MCP 服务器 '项目文件检索服务器' 已挂载到 FastAPI 应用的 '/mcp/' 路径。
2025-07-11 15:02:04.245 | INFO     | __main__:combined_lifespan:65 - COMBINED LIFESPAN START - PID: 1188314 - 服务器启动中...
2025-07-11 15:02:04.280 | INFO     | __main__:combined_lifespan:70 - HTTPX 客户端已创建并注册到 app_state。
2025-07-11 15:02:04.281 | INFO     | utils.utils:check_embedding_service_health:23 - 正在检查嵌入模型服务，目标URL: http://127.0.0.1:8001/v1/models
2025-07-11 15:02:04.288 | INFO     | utils.utils:check_embedding_service_health:32 - 嵌入模型服务可用，模型列表: ['/home/zhouxiang/models/BAAI_bge-m3']
