2025-08-03 09:35:38.000 | INFO     | core.session:process_inactive_sessions:487 - 检测到 1 个不活动会话，将执行登出: admin
2025-08-03 09:35:38.001 | INFO     | core.session:process_inactive_sessions:493 - APScheduler: 用户 'admin' (会话 2e161de5-c90d-4da5-b539-c3b63899d156) 因不活动被自动登出。
2025-08-03 09:35:38.001 | INFO     | core.session:process_inactive_sessions:495 - APScheduler: 尝试关闭用户 'admin' 的不活动WebSocket连接。
2025-08-03 09:35:38.109 | DEBUG    | sse_proxy.sse2websocket1:run:304 - WebSocket 会话 2e161de5-c90d-4da5-b539-c3b63899d156 用户 admin 断开连接
2025-08-03 09:35:38.109 | DEBUG    | sse_proxy.sse2websocket1:_stop:94 - OpenAIWebSocketProxy._stop stop_event.set()
2025-08-03 12:32:25.946 | INFO     | __main__:combined_lifespan:130 - COMBINED LIFESPAN END - PID: 98966 - 服务器关闭中...
2025-08-03 12:32:25.946 | INFO     | database.document_service:shutdown:469 - 正在关闭 DocumentQueryService...
2025-08-03 12:32:25.954 | INFO     | database.document_service:shutdown:474 - Watchdog 监控已停止。
2025-08-03 12:32:25.954 | INFO     | database.document_service:shutdown:482 - 后台更新任务已取消。
2025-08-03 12:32:25.955 | INFO     | database.document_service:shutdown:487 - 数据库连接已关闭。
2025-08-03 12:32:25.955 | INFO     | database.document_service:shutdown:489 - DocumentQueryService 已成功关闭。
2025-08-03 12:32:25.955 | INFO     | __main__:combined_lifespan:134 - 统一文档查询服务已关闭。
2025-08-03 12:32:25.955 | INFO     | __main__:combined_lifespan:139 - APScheduler 调度器已关闭。
2025-08-03 12:32:25.955 | INFO     | __main__:combined_lifespan:140 - Custom application resources cleaned up.
2025-08-03 12:45:33.408 | INFO     | __main__:<module>:35 - Loguru 日志系统已初始化。
2025-08-03 12:45:33.408 | INFO     | __main__:<module>:36 - 项目根目录配置为: /media/zhouxiang/FC7C74827C743A0A/Projects1
2025-08-03 12:45:33.408 | INFO     | __main__:<module>:37 - 数据库路径配置为: data/document_service.db
2025-08-03 12:45:33.408 | INFO     | __main__:<module>:38 - 表格列读取配置已加载: {'变电站安装工程概算表': (2, 6), '变电站建筑工程概算表': (2, 6), '电缆输电线路安装工程概算表': (2, 6), '电缆输电线路建筑工程概算表': (2, 6)}
2025-08-03 12:45:33.408 | INFO     | __main__:<module>:39 - kkFileView 服务地址配置为: http://127.0.0.1:8012/kkfileview
2025-08-03 12:45:33.408 | INFO     | __main__:<module>:42 - Dify Agent API Key: ********kGHe
2025-08-03 12:45:33.408 | INFO     | __main__:<module>:43 - Session Secret Key: ********8e5f
2025-08-03 12:45:33.409 | INFO     | __main__:<module>:44 - 服务器ipv6地址为: http://[240e:479:668:3c1c:3a23:4208:8545:430e]:8888
2025-08-03 12:45:33.409 | INFO     | __main__:<module>:151 - FastAPI 应用已实例化并注册到 app_state。
